ISO3;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
UKR;754300;645700;703800;722900;618000;561800;567400;546100;479700;453500;427700;399100;388500;427800;412700;384000;376000;363500;358900
URY;453123;317000;411841;424211;496498;590000;600000;522982;526869;491213;524000;479000;484787;491700;517500;536769;564878;594122;589732
USA;12016583;12195753;11890031;12334552;11947637;11180612;11242845;11909626;12030872;12091245;11818953;11969954;11916067;11788608;11698116;10777601;11470607;11907239;12219203
UZB;390000;404000;425300;455900;493600;518100;551590;551000;586000;622700;665300;667500;708200;750000;800000;850000;829123;735139;922364
VCT;217;210;199;182;182;182;181;199;199;208;213;220;208;206;212;213;201;202;207
VEN;428755;418182;428845;435181;375982;424656;515946;480897;482965;492276;469932;488653;584838;577183;524008;434306;431716;432000;442290
VGB;138;138;138;139;139;139;140;155;132;131;131;130;130;129;140;140;140;140;140
VIR;424;417;520;478;481;491;524;550;520;541;550;527;516;513;480;484;513;507;505
VNM;186269;194530;201354;204290;220839;245363;277616;315795;333191;368944;384261;386499;382438;370937;378758;385476;395238;409625;426582
VUT;3754;3028;2531;3127;2983;3195;3083;3147;3297;2560;3537;3214;3390;3289;2987;3242;3204;3129;3151
WLF;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
WSM;995;1053;1300;1100;1100;1100;1100;1100;1100;1411;1435;1512;1530;1593;1828;1651;1843;1906;1933
YEM;51698;56188;59283;69541;70931;72627;72793;81936;90242;96735;107512;109850;111286;111787;116282;114743;111133;111177;117617
ZAF;582000;572000;579000;635000;683000;746000;832000;829000;798000;803000;897000;878000;875000;953107;1000659;1072800;1089686;1014071;1003214
ZMB;52800;54400;59200;59200;56000;59200;57600;58400;78400;121600;153600;153970;160899;197827;208000;161000;159400;209300;187197
ZWE;101250;108000;96750;99450;102375;101700;102375;103500;103950;109000;115634;121300;122000;123000;97891;114297;111470;107633;111133
